datetime,lat_requested,lon_requested,lat_actual,lon_actual,temperature_2m_K,wind_u_100m_ms,wind_v_100m_ms,temperature_2m_C,wind_speed_100m_ms,wind_direction_100m_deg
2025-08-07 00:00:00,-73.0,172.75,-73.0,172.75,244.51845,-1.1513367,1.2055206,-28.631546,1.6669902,136.31699
2025-08-07 01:00:00,-73.0,172.75,-73.0,172.75,243.87088,-0.90870667,2.2852325,-29.279114,2.4592755,158.31511
2025-08-07 02:00:00,-73.0,172.75,-73.0,172.75,243.95921,-0.33410645,3.111969,-29.19078,3.1298528,173.8721
2025-08-07 03:00:00,-73.0,172.75,-73.0,172.75,244.04692,0.12236023,4.208969,-29.103073,4.2107477,181.66519
2025-08-07 13:00:00,-73.0,172.75,-73.0,172.75,245.04701,3.6076355,11.511322,-28.102982,12.063397,197.40094
2025-08-07 14:00:00,-73.0,172.75,-73.0,172.75,245.3337,4.322525,11.775452,-27.8163,12.543742,200.15714
2025-08-07 15:00:00,-73.0,172.75,-73.0,172.75,245.66954,5.1408386,12.29744,-27.480453,13.328737,202.68695
2025-08-07 16:00:00,-73.0,172.75,-73.0,172.75,245.98273,5.837036,13.30014,-27.167267,14.524625,203.69525
2025-08-07 17:00:00,-73.0,172.75,-73.0,172.75,246.23463,6.0441437,13.720459,-26.91536,14.992754,203.77448
2025-08-07 18:00:00,-73.0,172.75,-73.0,172.75,246.44728,6.025543,13.696259,-26.702713,14.96311,203.74666
2025-08-07 19:00:00,-73.0,172.75,-73.0,172.75,246.64027,6.1648254,14.335159,-26.50972,15.604547,203.2701
2025-08-07 20:00:00,-73.0,172.75,-73.0,172.75,246.79764,5.649246,15.11496,-26.352356,16.13617,200.49333
2025-08-07 21:00:00,-73.0,172.75,-73.0,172.75,246.90788,4.6774445,15.824524,-26.242111,16.501335,196.46674
2025-08-07 22:00:00,-73.0,172.75,-73.0,172.75,247.15067,4.2400208,16.84108,-25.999329,17.366629,194.13147
2025-08-07 23:00:00,-73.0,172.75,-73.0,172.75,247.36447,3.9603577,18.089294,-25.785522,18.517748,192.34914
2025-08-08 00:00:00,-73.0,172.75,-73.0,172.75,247.62463,4.6293793,18.267303,-25.52536,18.844774,194.22075
2025-08-08 01:00:00,-73.0,172.75,-73.0,172.75,247.90611,6.0276184,17.59964,-25.243881,18.603212,198.90558
